Movie_Name,Rating,Voting_Count,Duration,Genre
Kraven the Hunter,5.5,52000.0,127,Action
Gladiator II,6.5,225000.0,148,Action
Twisters,6.5,165000.0,122,Action
Sonic the Hedgehog 3,6.9,57000.0,110,Action
Venom: The Last Dance,6.0,114000.0,110,Action
Deadpool & Wolverine,7.6,487000.0,128,Action
Pushpa: The Rule - Part 2,6.1,55000.0,201,Action
Dune: Part Two,8.5,621000.0,166,Action
The Ministry of Ungentlemanly Warfare,6.8,134000.0,122,Action
Freaky Tales,7.2,906.0,106,Action
The Beekeeper,6.3,155000.0,105,Action
Carry-On,6.5,163000.0,119,Action
Furiosa: A Mad Max Saga,7.5,283000.0,148,Action
Civil War,7.0,235000.0,109,Action
Fight or Flight,6.4,6000.0,97,Action
Solo Leveling: ReAwakening,8.9,11000.0,121,Action
Borderlands,4.7,47000.0,101,Action
Elevation,5.6,21000.0,91,Action
The Fall Guy,6.8,219000.0,126,Action
The Count of Monte-Cristo,7.6,33000.0,178,Action
Transformers One,7.6,49000.0,104,Action
Hellboy: The Crooked Man,4.5,13000.0,99,Action
The Lord of the Rings: The War of the Rohirrim,6.3,30000.0,134,Action
The Crow,4.7,34000.0,111,Action
William Tell,5.7,2300.0,133,Action
Madame Web,4.0,100000.0,116,Action
Rebel Ridge,6.8,87000.0,131,Action
Road House,6.2,167000.0,121,Action
Bad Boys: Ride or Die,6.5,99000.0,115,Action
Kingdom of the Planet of the Apes,6.9,151000.0,145,Action
Godzilla x Kong: The New Empire,6.0,121000.0,115,Action
Argylle,5.6,92000.0,139,Action
Marco,6.8,21000.0,145,Action
Damsel,6.1,109000.0,110,Action
Red One,6.3,139000.0,123,Action
Homestead,5.3,3500.0,112,Action
Love Lies Bleeding,6.6,56000.0,104,Action
The Killer's Game,5.8,17000.0,104,Action
Land of Bad,6.6,51000.0,113,Action
Monkey Man,6.8,91000.0,121,Action
Uglies,4.7,32000.0,100,Action
Old Guy,5.2,2200.0,94,Action
Dirty Angels,4.3,3300.0,104,Action
Blitz,6.2,16000.0,120,Action
The Union,5.4,53000.0,107,Action
Kung Fu Panda 4,6.3,68000.0,94,Action
Toofan,7.4,7600.0,145,Action
Thelma,7.0,22000.0,98,Action
Arcadian,5.5,23000.0,92,Action
Attack on Titan the Movie: The Last Attack,9.2,15000.0,145,Action
Gunner,3.2,2500.0,106,Action
Lift,5.5,49000.0,107,Action
Werewolves,4.4,6400.0,93,Action
The Killer,5.7,13000.0,126,Action
Aftermath,5.1,3800.0,97,Action
Beverly Hills Cop: Axel F,6.4,81000.0,118,Action
Maharaja,8.4,66000.0,141,Action
Survive,4.6,2300.0,90,Action
The Instigators,6.2,37000.0,101,Action
Twilight of the Warriors: Walled In,7.0,9300.0,126,Action
Drive-Away Dolls,5.4,23000.0,84,Action
Absolution,5.2,7700.0,112,Action
Apocalypse Z: The Beginning of the End,6.1,20000.0,117,Action
Azrael,5.4,10000.0,86,Action
Classified,3.6,2400.0,105,Action
Atlas,5.6,56000.0,118,Action
The Prosecutor,6.7,1700.0,117,Action
Rebel Moon - Part Two: The Scargiver,5.3,59000.0,122,Action
Descendants: The Rise of Red,4.7,7000.0,91,Action
Kalki 2898 AD,7.0,66000.0,180,Action
Long Gone Heroes,5.2,1000.0,101,Action
Brothers,5.4,13000.0,89,Action
Canary Black,5.3,11000.0,101,Action
Under Paris,5.2,36000.0,104,Action
Trigger Warning,4.6,19000.0,106,Action
Armor,3.6,3800.0,89,Action
Watchmen: Chapter I,7.0,6400.0,83,Action
One More Shot,5.4,3600.0,103,Action
Amaran,8.2,18000.0,167,Action
The Shadow Strays,6.5,9100.0,144,Action
Jackpot!,5.8,30000.0,106,Action
Cash Out,4.8,2900.0,92,Action
Weekend in Taipei,5.7,4600.0,100,Action
The Silent Hour,6.1,7300.0,99,Action
Duchess,4.6,1300.0,114,Action
Watchmen: Chapter II,7.0,2900.0,90,Action
Red Right Hand,5.5,5800.0,111,Action
Chief of Station,4.7,4600.0,97,Action
Fighter,6.2,52000.0,166,Action
Boneyard,4.1,5000.0,96,Action
Rogue Elements: A Ryan Drake Story,4.8,953.0,44,Action
Hitpig,5.1,909.0,86,Action
Aavesham,7.8,28000.0,155,Action
Karma,8.0,1400.0,167,Action
Harbin,6.4,569.0,108,Action
Baby Invasion,4.6,398.0,80,Action
Uprising,6.6,5500.0,126,Action
No Way Up,4.6,10000.0,90,Action
Baby John,5.3,17000.0,159,Action
Megamind vs The Doom Syndicate,2.5,5500.0,83,Action
Sikandar Ka Muqaddar,6.0,24000.0,142,Action
The Fix,4.6,1200.0,98,Action
River of Blood,5.3,1700.0,86,Action
Black Heat,8.6,117.0,93,Action
Viduthalai Part 2,7.9,16000.0,170,Action
The Wages of Fear,4.6,4100.0,104,Action
Damaged,4.7,7200.0,97,Action
Devil's Knight,5.4,820.0,90,Action
Dominique,5.3,2200.0,100,Action
The Quiet Ones,6.4,658.0,110,Action
Take Cover,5.1,2400.0,90,Action
Overlord: The Sacred Kingdom,6.9,894.0,135,Action
Operation Undead,4.6,394.0,110,Action
Devara Part 1,6.0,20000.0,176,Action
Role Play,5.5,19000.0,100,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,8400.0,93,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500.0,94,Action
Trouble,6.2,6700.0,98,Action
Levels,5.0,1500.0,93,Action
Prey,3.7,3300.0,86,Action
Singham Again,4.8,75000.0,144,Action
Bangkok Dog,4.8,156.0,85,Action
Anaconda,4.8,625.0,84,Action
Hagen,6.1,1200.0,139,Action
The Thundermans Return,5.0,1800.0,70,Action
Night Call,6.8,1900.0,97,Action
My Spy: The Eternal City,5.7,11000.0,112,Action
Dark Match,5.5,924.0,94,Action
The Roundup: Punishment,6.6,5200.0,109,Action
Hounds of War,4.5,1700.0,95,Action
Hanu Man,7.7,29000.0,158,Action
Rifle Club,7.0,4200.0,113,Action
Jigra,6.0,23000.0,153,Action
Mafia Wars,3.4,233.0,94,Action
"I, the Executioner",6.3,1700.0,118,Action
The Price of Money: A Largo Winch Adventure,5.0,1100.0,100,Action
Badland Hunters,5.9,12000.0,107,Action
Sunray: Fallen Soldier,4.3,622.0,115,Action
Ultraman: Rising,6.9,6300.0,117,Action
The Clean Up Crew,4.1,1100.0,95,Action
Death Whisperer 2,6.4,1300.0,110,Action
Bougainvillea,6.4,3100.0,138,Action
Officer Black Belt,6.8,8100.0,108,Action
Panda Plan,5.1,1200.0,99,Action
Code 8: Part II,5.7,16000.0,100,Action
Pani,6.9,2900.0,143,Action
The Courier,6.0,4400.0,101,Action
Joe Baby,7.3,30.0,86,Action
Air Force One Down,4.4,2900.0,84,Action
Cesium Fallout,6.5,586.0,136,Action
11 Rebels,6.2,362.0,155,Action
Rats!,6.5,116.0,85,Action
A Legend,4.7,887.0,129,Action
My Hero Academia: You're Next,7.0,2000.0,110,Action
Cloud,6.3,1000.0,124,Action
Vanvaas,6.6,1300.0,160,Action
Kill Em All 2,4.1,1300.0,88,Action
Dan Da Dan: First Encounter,8.2,2700.0,83,Action
Article 370,7.8,25000.0,158,Action
Darkness of Man,4.8,3200.0,109,Action
