Movie_Name,Rating,Voting_Count,Duration,Genre
Anora,7.5,176000.0,139,Comedy
Moana 2,6.6,98000.0,100,Comedy
A Real Pain,7.1,85000.0,90,Comedy
Sonic the Hedgehog 3,6.9,57000.0,110,Comedy
Y2K,4.8,13000.0,91,Comedy
Deadpool & Wolverine,7.6,487000.0,128,Comedy
The Ministry of Ungentlemanly Warfare,6.8,134000.0,122,Comedy
Freaky Tales,7.2,906.0,106,Comedy
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,3700.0,91,Comedy
Riff Raff,5.7,2700.0,103,Comedy
Fight or Flight,6.4,6000.0,97,Comedy
Emilia Pérez,5.4,87000.0,132,Comedy
Borderlands,4.7,47000.0,101,Comedy
Paddington in Peru,6.7,19000.0,106,Comedy
Sacramento,5.7,554.0,89,Comedy
The Fall Guy,6.8,219000.0,126,Comedy
Saturday Night,6.9,30000.0,109,Comedy
Beetlejuice Beetlejuice,6.7,146000.0,105,Comedy
Despicable Me 4,6.2,64000.0,94,Comedy
Challengers,7.0,154000.0,131,Comedy
Inside Out 2,7.5,215000.0,96,Comedy
Kinds of Kindness,6.5,59000.0,164,Comedy
A Different Man,6.9,28000.0,112,Comedy
Bad Boys: Ride or Die,6.5,99000.0,115,Comedy
The Idea of You,6.3,73000.0,115,Comedy
My Old Ass,6.9,39000.0,89,Comedy
Argylle,5.6,92000.0,139,Comedy
It's What's Inside,6.6,42000.0,103,Comedy
Dead Talents Society,7.0,1700.0,111,Comedy
IF,6.4,58000.0,104,Comedy
A Nice Indian Boy,8.0,350.0,96,Comedy
Ricky Stanicky,6.2,56000.0,113,Comedy
Ghostbusters: Frozen Empire,6.1,93000.0,115,Comedy
Red One,6.3,139000.0,123,Comedy
Fly Me to the Moon,6.6,49000.0,132,Comedy
Friendship,7.4,259.0,100,Comedy
Nightbitch,5.6,19000.0,99,Comedy
Bob Trevino Likes It,8.0,721.0,101,Comedy
The Killer's Game,5.8,17000.0,104,Comedy
Snack Shack,7.0,12000.0,112,Comedy
My Dead Friend Zoe,6.6,2100.0,103,Comedy
Old Guy,5.2,2200.0,94,Comedy
Kneecap,7.6,17000.0,105,Comedy
F*** Marry Kill,5.3,2300.0,97,Comedy
Miller's Girl,5.2,23000.0,93,Comedy
The Union,5.4,53000.0,107,Comedy
Kung Fu Panda 4,6.3,68000.0,94,Comedy
Chosen Family,4.7,366.0,88,Comedy
Mean Girls,5.5,37000.0,112,Comedy
Thelma,7.0,22000.0,98,Comedy
A Family Affair,5.4,36000.0,111,Comedy
Misericordia,6.9,1900.0,104,Comedy
Spermageddon,5.8,759.0,80,Comedy
Lift,5.5,49000.0,107,Comedy
Upgraded,6.1,29000.0,104,Comedy
Holy Cow,7.1,1400.0,92,Comedy
Beverly Hills Cop: Axel F,6.4,81000.0,118,Comedy
The Instigators,6.2,37000.0,101,Comedy
Distant,5.7,3100.0,87,Comedy
The Garfield Movie,5.7,24000.0,101,Comedy
The Marching Band,7.4,2600.0,103,Comedy
