Movie_Name,Rating,Voting_Count,Duration,Genre
Anora,7.5,177000.0,139,Drama
Mufasa: The Lion King,6.6,60000.0,118,Drama
A Complete Unknown,7.4,71000.0,141,Drama
The Substance,7.3,294000.0,141,Drama
The Friend,6.7,865.0,119,Drama
The Brutalist,7.4,77000.0,216,Drama
Conclave,7.4,144000.0,120,Drama
Gladiator II,6.5,226000.0,148,Drama
Babygirl,5.9,51000.0,114,Drama
Queer,6.4,20000.0,137,Drama
A Real Pain,7.1,86000.0,90,Drama
I'm Still Here,8.3,103000.0,137,Drama
Bring Them Down,6.5,2500.0,106,Drama
Pushpa: The Rule - Part 2,6.1,56000.0,201,Drama
Dune: Part Two,8.5,622000.0,166,Drama
"Husband, Father, Killer: The Alyssa Pladl Story",6.3,231.0,87,Drama
Parthenope,6.6,11000.0,137,Drama
The Penguin Lessons,7.3,960.0,111,Drama
It Ends with Us,6.4,84000.0,130,Drama
Mon Potongo,6.9,314.0,149,Drama
Freaky Tales,7.2,996.0,107,Drama
Juror #2,7.0,96000.0,114,Drama
Presence,6.1,21000.0,84,Drama
Speak No Evil,6.8,96000.0,110,Drama
The Order,6.8,41000.0,116,Drama
The Apprentice,7.1,54000.0,122,Drama
Emilia Pérez,5.4,87000.0,132,Drama
We Live in Time,7.0,51000.0,108,Drama
September 5,7.1,23000.0,95,Drama
The Fall Guy,6.8,219000.0,126,Drama
Horizon: An American Saga - Chapter 1,6.7,40000.0,181,Drama
Here,6.3,20000.0,104,Drama
The Last Showgirl,6.5,10000.0,88,Drama
The Life of Chuck,7.7,485.0,110,Drama
The Count of Monte-Cristo,7.6,34000.0,178,Drama
Ask Me What You Want,3.7,617.0,114,Drama
Saturday Night,6.9,30000.0,109,Drama
Challengers,7.0,154000.0,131,Drama
Joker: Folie à Deux,5.2,159000.0,138,Drama
The Lord of the Rings: The War of the Rohirrim,6.3,30000.0,134,Drama
Small Things Like These,6.8,22000.0,98,Drama
Inside Out 2,7.5,215000.0,96,Drama
A Quiet Place: Day One,6.3,149000.0,99,Drama
William Tell,5.7,2300.0,133,Drama
The Return,6.2,8100.0,116,Drama
Kinds of Kindness,6.5,59000.0,164,Drama
On Swift Horses,6.1,222.0,117,Drama
The Assessment,6.9,1900.0,114,Drama
Rebel Ridge,6.8,87000.0,131,Drama
Megalopolis,4.7,35000.0,138,Drama
Road House,6.2,167000.0,121,Drama
Queen of the Ring,6.9,922.0,140,Drama
Lucky Baskhar,8.0,31000.0,148,Drama
Nickel Boys,7.0,18000.0,140,Drama
A Different Man,6.9,28000.0,112,Drama
The Idea of You,6.3,73000.0,115,Drama
My Old Ass,6.9,39000.0,89,Drama
Kingdom of the Planet of the Apes,6.9,151000.0,145,Drama
IF,6.4,58000.0,104,Drama
A Nice Indian Boy,8.0,411.0,96,Drama
