Movie_Name,Rating,Voting_Count,Duration,Genre
Mufasa: The Lion King,6.6,59000.0,118,Adventure
Moana 2,6.6,98000.0,100,Adventure
Kraven the Hunter,5.5,52000.0,127,Adventure
Flow,7.9,70000.0,85,Adventure
Gladiator II,6.5,225000.0,148,Adventure
Twisters,6.5,165000.0,122,Adventure
Sonic the Hedgehog 3,6.9,57000.0,110,Adventure
Venom: The Last Dance,6.0,114000.0,110,Adventure
Deadpool & Wolverine,7.6,487000.0,128,Adventure
Dune: Part Two,8.5,621000.0,166,Adventure
Freaky Tales,7.2,906.0,106,Adventure
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,3700.0,91,Adventure
Furiosa: A Mad Max Saga,7.5,283000.0,148,Adventure
Solo Leveling: ReAwakening,8.9,11000.0,121,Adventure
Borderlands,4.7,47000.0,101,Adventure
Paddington in Peru,6.7,19000.0,106,Adventure
The Count of Monte-Cristo,7.6,33000.0,178,Adventure
Despicable Me 4,6.2,64000.0,94,Adventure
Transformers One,7.6,49000.0,104,Adventure
The Lord of the Rings: The War of the Rohirrim,6.3,30000.0,134,Adventure
Inside Out 2,7.5,215000.0,96,Adventure
The Return,6.2,8000.0,116,Adventure
Madame Web,4.0,100000.0,116,Adventure
Bad Boys: Ride or Die,6.5,99000.0,115,Adventure
Kingdom of the Planet of the Apes,6.9,151000.0,145,Adventure
Godzilla x Kong: The New Empire,6.0,121000.0,115,Adventure
Ghostbusters: Frozen Empire,6.1,93000.0,115,Adventure
Damsel,6.1,109000.0,110,Adventure
Red One,6.3,139000.0,123,Adventure
Love Lies Bleeding,6.6,56000.0,104,Adventure
Spaceman,5.7,43000.0,107,Adventure
Uglies,4.7,32000.0,100,Adventure
Kung Fu Panda 4,6.3,68000.0,94,Adventure
Attack on Titan the Movie: The Last Attack,9.2,15000.0,145,Adventure
Survive,4.6,2300.0,90,Adventure
The Garfield Movie,5.7,24000.0,101,Adventure
Spellbound,5.6,7200.0,109,Adventure
Harold and the Purple Crayon,5.7,8200.0,90,Adventure
Wallace & Gromit: Vengeance Most Fowl,7.5,34000.0,82,Adventure
Night of the Zoopocalypse,6.1,519.0,91,Adventure
Atlas,5.6,56000.0,118,Adventure
Rebel Moon - Part Two: The Scargiver,5.3,59000.0,122,Adventure
Descendants: The Rise of Red,4.7,7000.0,91,Adventure
Kalki 2898 AD,7.0,66000.0,180,Adventure
Arthur the King,7.0,34000.0,107,Adventure
The Unholy Trinity,7.9,49.0,93,Adventure
Monster Summer,5.7,3600.0,97,Adventure
My Penguin Friend,6.7,4900.0,97,Adventure
Winner,6.5,2400.0,103,Adventure
Hitpig,5.1,909.0,86,Adventure
Thelma the Unicorn,5.7,2900.0,93,Adventure
No Way Up,4.6,10000.0,90,Adventure
Megamind vs The Doom Syndicate,2.5,5500.0,83,Adventure
The Goat Life,7.1,47000.0,173,Adventure
Family Pack,5.5,8900.0,94,Adventure
River of Blood,5.3,1700.0,86,Adventure
The Best Christmas Pageant Ever,6.8,6100.0,99,Adventure
The Wages of Fear,4.6,4100.0,104,Adventure
Orion and the Dark,6.3,17000.0,93,Adventure
Dongeng Sang Kancil,6.8,159.0,99,Adventure
Devil's Knight,5.4,820.0,90,Adventure
Sasquatch Sunset,5.4,5400.0,88,Adventure
Overlord: The Sacred Kingdom,6.9,894.0,135,Adventure
Lost on a Mountain in Maine,6.1,1200.0,98,Adventure
Justice League: Crisis on Infinite Earths - Part One,6.2,8400.0,93,Adventure
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500.0,94,Adventure
Bookworm,6.0,1800.0,103,Adventure
Anaconda,4.8,625.0,84,Adventure
Chuck Billy and the Marvelous Guava Tree,7.5,923.0,90,Adventure
Something in the Water,4.1,4600.0,86,Adventure
Hanu Man,7.7,29000.0,158,Adventure
Buffalo Kids,6.6,670.0,93,Adventure
"I, the Executioner",6.3,1700.0,118,Adventure
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3800.0,82,Adventure
The Price of Money: A Largo Winch Adventure,5.0,1100.0,100,Adventure
Badland Hunters,5.9,12000.0,107,Adventure
The Empire,5.2,1200.0,110,Adventure
Ultraman: Rising,6.9,6300.0,117,Adventure
The Courier,6.0,4400.0,101,Adventure
Autumn and the Black Jaguar,5.6,990.0,100,Adventure
A Legend,4.7,887.0,129,Adventure
My Hero Academia: You're Next,7.0,2000.0,110,Adventure
That Christmas,6.8,17000.0,91,Adventure
Manjummel Boys,8.2,27000.0,135,Adventure
Saint-Exupéry,5.6,254.0,98,Adventure
200% Wolf,5.9,1300.0,98,Adventure
Operation Blood Hunt,3.4,477.0,93,Adventure
Woody Woodpecker Goes to Camp,4.5,2600.0,100,Adventure
The Tiger's Apprentice,5.7,2200.0,84,Adventure
Cult Killer,4.8,2800.0,105,Adventure
Raqa,5.7,177.0,107,Adventure
